10 10
51.0147 3.47665 32.1104 79.2392 -26.1544 23.4828 76.2078 24.944 34.4514 24.6765 
-61.3548 10.4271 48.3054 69.2346 25.0378 9.779 -44.2522 53.6811 18.7713 88.581 
-18.5291 -18.2053 22.768 61.0781 -60.6366 81.038 5.26619 -91.223 15.2333 26.5932 
-47.3865 -25.3223 7.37021 71.1621 21.819 -87.3923 -2.70836 80.5803 -87.6557 -28.5405 
-80.613 -61.9308 -70.6336 61.4357 -51.0932 76.5811 98.9984 65.2355 13.7251 77.0724 
-43.6515 -50.0114 58.6817 62.7306 -86.5629 -63.0024 -81.5871 -33.9455 77.891 -85.6065 
11.6056 55.0162 57.49 34.9891 61.2764 72.6579 -38.3802 -56.6211 -31.5961 -34.8563 
-29.7782 -81.8909 59.2343 -49.3241 9.82354 -95.7664 54.2031 -8.39317 -63.9423 -77.905 
50.122 0.502098 38.6864 2.15057 -55.2887 -36.6502 20.7027 -50.5397 -21.2155 30.9273 
-5.75246 -81.6744 97.9779 -85.6391 63.5719 52.9393 -49.5914 -81.8487 -31.7561 74.5945 
